date | value
date | value
2009-01-02 | 1
2009-06-15 | 0.5
2010-03-20 | 2.5
2010-12-25 | 10
2011-01-03 | 3
2011-06-10 | 15.5
2011-06-10 |
2011-06-10 |
2012-01-11 | 7.1
2012-07-04 | 25


2013-02-14 | 50
2013-11-28 | 100
2014-05-22 | 75.3
2015-08-17 | 200

2016-12-01 | 150.7
2017-04-15 | 300
2018-09-30 | 250.5

2019-01-15 | 400
2020-06-21 | 500
2021-03-10 | 600.25
2022-11-05 | 800
2023-07-20 | 999
2023-07-20 |
2024-12-24 | 1
2025-06-15 | 500

2008-12-31 | 5
2026-01-01 | 10
2019-13-05 | 20
2020-02-30 | 15
2021-06-32 | 25
2022-04-31 | 30
2024-02-29 | 12
2023-02-29 | 8
2015-01-03 | -5
2018-01-03 | 1001
2019-01-03 | abc
2020-01-03 | 5.5.5
2021-01-03|5
2022-01-03  | 5
2023-01-03| 5
invalid_date_format
2024/01/03 | 5
2025-1-3 | 5
25-01-03 | 5
2024-01-3 | 5
2025-1-03 | 5
2024-01-03 | 
 | 5
2023-01-03 | +10
2022-01-03 | 10.
2021-01-03 | .10
2020-01-03 | 1e5
2019-01-03 | inf
